id_aluno,nome,idade,serie,sexo,nota_matematica,nota_portugues,frequencia,Media,aprovado
1,Pedro Lucas Vieira,11,6º Ano,M,"4,10","3,80","63,70","4,76",Nao
2,Emanuelly Moreira,10,4º Ano,F,"8,40","7,80","64,60","7,55",Sim
3,Murilo Nogueira,13,9º Ano,M,"8,10","6,50","68,40","7,15",Sim
4,Helena Oliveira,14,9º Ano,F,"3,70","3,40","65,40","4,55",Nao
5,Alice Ribeiro,15,9º Ano,F,"2,70","8,70","89,80","6,79",Nao
6,Lucas Campos,12,7º Ano,M,"8,90","4,10","76,70","6,89",Nao
7,Pedro Cavalcanti,10,6º Ano,M,"7,40","6,60","67,80","6,93",Nao
8,Bianca Pires,9,4º Ano,F,"0,20","9,30","61,90","5,23",Nao
9,Anthony da Mota,10,5º Ano,M,"3,60","8,30","64,40","6,11",Nao
10,Nicole Gomes,13,8º Ano,F,"5,70","3,60","83,30","5,88",Nao
11,Kevin Moraes,8,3º Ano,M,"2,90","0,30","91,10","4,10",Nao
12,Lavínia Costa,8,4º Ano,F,"5,00","8,10","64,10","6,50",Nao
13,Lucca Nascimento,6,1º Ano,M,"0,90","7,40","81,70","5,49",Nao
14,Luiz Gustavo Carvalho,7,2º Ano,M,"6,80","6,50","62,50","6,52",Nao
15,Miguel Teixeira,10,4º Ano,M,"7,70","8,60","93,40","8,55",Sim
16,Pietro Azevedo,11,6º Ano,M,"0,80","6,80","84,00","5,33",Nao
17,Larissa Araújo,14,8º Ano,F,"3,10","8,00","94,80","6,86",Nao
18,Laura Correia,13,9º Ano,F,"2,10","3,50","62,30","3,94",Nao
19,Mariana Barbosa,5,1º Ano,F,"9,00","8,50","82,90","8,60",Sim
20,Diego Moura,6,2º Ano,M,"6,80","1,60","77,90","5,40",Nao
21,Guilherme Ramos,9,5º Ano,M,"2,80","0,90","91,90","4,30",Nao
22,Ana Nogueira,9,3º Ano,F,"8,20","7,80","83,50","8,12",Sim
23,Lorena Azevedo,10,5º Ano,F,"3,40","1,70","81,80","4,43",Nao
24,Vitor Hugo Souza,12,8º Ano,M,"2,90","1,80","84,00","4,37",Nao
25,Alícia Pereira,11,6º Ano,F,"0,20","7,20","68,00","4,73",Nao
26,Noah Nogueira,9,3º Ano,M,"0,60","5,00","80,50","4,55",Nao
27,Luigi Silva,12,6º Ano,M,"0,80","8,30","95,20","6,21",Nao
28,André Duarte,9,3º Ano,M,"2,20","2,90","69,00","4,00",Nao
29,Augusto Dias,6,2º Ano,M,"8,20","3,30","66,70","6,06",Nao
30,Stella Correia,8,3º Ano,F,"4,30","4,00","90,20","5,77",Nao
31,Caroline Barbosa,14,9º Ano,F,"4,10","5,80","76,50","5,85",Nao
32,Milena da Rosa,11,6º Ano,F,"3,50","1,20","96,50","4,78",Nao
33,Carolina da Mata,13,7º Ano,F,"5,20","0,90","75,90","4,56",Nao
34,Renan Novaes,10,6º Ano,M,"5,10","1,30","99,10","5,44",Nao
35,Pedro Miguel Azevedo,9,3º Ano,M,"9,60","0,10","66,40","5,45",Nao
36,Stella Peixoto,11,5º Ano,F,"1,00","0,70","62,40","2,65",Nao
37,Rafael Pereira,14,9º Ano,M,"7,40","7,10","61,50","6,88",Nao
38,João Pedro Rodrigues,11,5º Ano,M,"9,60","0,40","85,70","6,19",Nao
39,Yago Freitas,9,4º Ano,M,"9,60","7,30","73,70","8,09",Sim
40,Nathan Farias,8,4º Ano,M,"2,70","9,70","67,50","6,38",Nao
41,Fernando Pinto,8,3º Ano,M,"9,50","6,50","93,30","8,44",Sim
42,Sofia Gomes,5,1º Ano,F,"8,50","5,20","86,90","7,46",Sim
43,Emanuel Silveira,9,4º Ano,M,"0,00","3,90","62,90","3,40",Nao
44,Nina Moreira,10,4º Ano,F,"6,90","2,30","66,00","5,27",Nao
45,Emanuelly Viana,14,8º Ano,F,"4,50","6,90","61,10","5,84",Nao
46,Helena Almeida,7,3º Ano,F,"7,60","4,80","60,80","6,16",Nao
47,Vitória Martins,10,6º Ano,F,"5,50","2,50","65,00","4,83",Nao
48,Henrique Santos,13,9º Ano,M,"7,10","2,40","77,40","5,75",Nao
49,Caio Costela,13,8º Ano,M,"6,20","4,90","71,10","6,07",Nao
50,Rodrigo Caldeira,7,2º Ano,M,"2,50","3,30","89,00","4,90",Nao
51,Marcos Vinicius Lopes,6,2º Ano,M,"9,90","5,10","78,40","7,61",Sim
52,Enzo Aragão,8,2º Ano,M,"3,60","4,80","97,20","6,04",Nao
53,Leandro Peixoto,7,2º Ano,M,"4,90","5,90","94,80","6,76",Nao
54,Isabelly Novaes,11,6º Ano,F,"8,10","7,00","69,40","7,35",Sim
55,Gustavo Ribeiro,12,7º Ano,M,"7,70","0,20","87,80","5,56",Nao
56,João Lopes,10,6º Ano,M,"7,40","5,10","63,30","6,28",Nao
57,Maria Sophia Cardoso,7,3º Ano,F,"2,70","1,30","86,20","4,21",Nao
58,Natália Teixeira,13,9º Ano,F,"3,20","3,10","74,30","4,58",Nao
59,Lívia Alves,7,3º Ano,F,"1,70","1,20","78,90","3,60",Nao
60,Alana da Rosa,6,2º Ano,F,"5,80","5,70","74,20","6,31",Nao
61,Alice Ferreira,9,3º Ano,F,"6,10","3,70","72,40","5,68",Nao
62,Evelyn Pinto,7,1º Ano,F,"2,20","1,00","64,40","3,21",Nao
63,Renan Nogueira,13,9º Ano,M,"10,00","5,10","93,90","8,16",Sim
64,Maria Cecília Peixoto,12,7º Ano,F,"5,30","8,90","80,60","7,42",Sim
65,Maysa Aragão,12,8º Ano,F,"1,60","0,50","88,80","3,66",Nao
66,Laís Farias,15,9º Ano,F,"4,60","2,50","98,50","5,65",Nao
67,Manuela da Cruz,9,3º Ano,F,"4,20","4,00","60,30","4,74",Nao
68,Daniela Costela,11,6º Ano,F,"4,70","6,40","79,70","6,36",Nao
69,Kamilly Freitas,12,6º Ano,F,"0,10","3,60","71,50","3,62",Nao
70,Ana Vitória Almeida,10,6º Ano,F,"9,00","1,10","85,10","6,20",Nao
71,Pietro Almeida,12,7º Ano,M,"6,30","9,00","91,20","8,14",Sim
72,Júlia Cardoso,10,6º Ano,F,"8,20","6,20","68,60","7,09",Sim
73,Marcela das Neves,13,9º Ano,F,"9,70","0,70","77,90","6,06",Nao
74,João Miguel Moura,7,2º Ano,M,"2,30","9,10","85,30","6,64",Nao
75,Maria Luiza Silva,10,6º Ano,F,"5,60","8,10","98,80","7,86",Sim
76,Mirella Viana,11,5º Ano,F,"6,20","9,00","87,40","7,98",Sim
77,Ana Carolina Farias,6,2º Ano,F,"1,80","8,60","97,90","6,73",Nao
78,Isabelly Nogueira,8,3º Ano,F,"6,00","3,90","73,60","5,75",Nao
79,Emilly Pereira,10,5º Ano,F,"1,90","1,80","68,40","3,51",Nao
80,Juliana Lima,14,9º Ano,F,"0,50","6,70","82,50","5,15",Nao
81,Maria Luiza Souza,9,5º Ano,F,"4,10","4,40","77,40","5,41",Nao
82,Mirella Viana,11,6º Ano,F,"5,30","8,00","90,90","7,46",Sim
83,Heloísa Mendes,14,9º Ano,F,"2,60","5,50","62,20","4,77",Nao
84,Levi Azevedo,7,3º Ano,M,"4,50","8,30","68,60","6,55",Nao
85,Leonardo Nunes,15,9º Ano,M,"1,30","5,60","94,20","5,44",Nao
86,Felipe Teixeira,12,8º Ano,M,"3,50","1,10","61,40","3,58",Nao
87,Daniela Aragão,10,5º Ano,F,"0,50","8,30","84,10","5,74",Nao
88,Vinicius Fogaça,8,3º Ano,M,"3,90","2,90","82,40","5,01",Nao
89,Daniela Rezende,6,2º Ano,F,"5,60","3,10","90,00","5,90",Nao
90,Luiz Fernando da Luz,15,9º Ano,M,"0,90","0,00","81,50","3,02",Nao
91,Davi Luiz Vieira,13,8º Ano,M,"8,90","3,00","82,70","6,72",Nao
92,Samuel Campos,9,4º Ano,M,"7,30","4,90","72,50","6,48",Nao
93,Agatha Campos,12,7º Ano,F,"8,20","0,30","89,10","5,80",Nao
94,Bernardo Peixoto,7,3º Ano,M,"9,70","1,90","75,80","6,39",Nao
95,Pedro Lucas da Mata,14,9º Ano,M,"7,10","1,20","86,50","5,65",Nao
96,Julia das Neves,15,9º Ano,F,"2,90","5,30","78,10","5,34",Nao
97,João Ramos,6,1º Ano,M,"9,90","7,10","71,80","8,06",Sim
98,Clarice da Mota,8,3º Ano,F,"3,20","3,50","99,40","5,55",Nao
99,Lucas Gabriel da Luz,11,5º Ano,M,"4,50","1,20","63,60","4,02",Nao
100,Ana Sophia Nunes,8,3º Ano,F,"2,20","5,00","60,70","4,42",Nao
